program_id,gate_number,min_sec,max_sec,avg_sec,std_sec,sample_count,updated_at
1,1,32.0,1958.0,84.90833333333335,183.53722305771745,480,2025-10-15 07:57:23
1,2,31.0,1461.0,84.91666666666669,158.61185845424785,480,2025-10-15 07:57:23
1,3,18.0,316.0,42.73488372093029,34.88279983983975,860,2025-10-15 07:57:23
1,4,21.0,268.0,42.79534883720927,33.809505062787125,860,2025-10-15 07:57:23
1,5,39.0,94.0,58.35294117647059,11.7426285225556,136,2025-10-15 07:57:23
1,6,38.0,93.0,58.05882352941176,11.33710048886193,136,2025-10-15 07:57:23
1,7,36.0,86.0,57.82352941176469,11.00968082622856,136,2025-10-15 07:57:23
1,8,79.0,1985.0,379.55,468.65889730732346,80,2025-10-15 07:57:23
2,1,30.0,3772.0,208.5,672.7837691264557,136,2025-10-15 07:57:28
2,2,33.0,3354.0,208.76470588235298,639.349069847973,136,2025-10-15 07:57:28
2,3,29.0,416.0,104.04411764705884,93.45211040656056,272,2025-10-15 07:57:28
2,4,29.0,427.0,104.2058823529412,93.74906583718067,272,2025-10-15 07:57:28
2,5,27.0,210.0,38.96323529411767,20.071844472456608,544,2025-10-15 07:57:28
2,6,28.0,200.0,39.426470588235254,20.08916857328805,544,2025-10-15 07:57:28
2,7,29.0,211.0,40.50000000000004,24.247344218645026,544,2025-10-15 07:57:28
2,8,38.0,290.0,134.0857142857142,57.58415620853286,140,2025-10-15 07:57:28
3,1,43.0,110.0,68.64444444444447,13.720523395973864,180,2025-10-15 07:57:32
3,2,43.0,109.0,68.57777777777777,14.281274826730225,180,2025-10-15 07:57:32
3,3,32.0,57.0,42.06944444444447,5.397964228183573,288,2025-10-15 07:57:32
3,4,30.0,58.0,42.04225352112676,5.446655198764454,284,2025-10-15 07:57:32
3,5,31.0,59.0,42.788732394366214,5.721240550833506,284,2025-10-15 07:57:32
3,6,92.0,261.0,151.83333333333331,48.13156851094657,72,2025-10-15 07:57:32
3,7,93.0,246.0,150.88888888888889,42.541630167867254,72,2025-10-15 07:57:32
3,8,100.0,249.0,148.66666666666669,40.47743241871039,72,2025-10-15 07:57:32
4,1,36.0,252.0,71.86111111111116,40.640434429825056,144,2025-10-15 07:57:37
4,2,36.0,216.0,71.72222222222214,36.34689980035609,144,2025-10-15 07:57:37
4,3,61.0,213.0,105.04166666666666,43.18428482839968,96,2025-10-15 07:57:37
4,4,58.0,228.0,105.0,43.95308503632624,96,2025-10-15 07:57:37
4,5,16.0,303.0,77.1081081081081,64.55785098876474,148,2025-10-15 07:57:37
4,6,23.0,231.0,80.08333333333329,59.57489263244906,144,2025-10-15 07:57:37
4,7,24.0,311.0,79.77142857142856,62.3995414640438,140,2025-10-15 07:57:37
4,8,36.0,962.0,217.9,274.6706932739454,40,2025-10-15 07:57:37
5,1,38.0,484.0,105.88888888888884,95.29043649951072,144,2025-10-15 07:57:42
5,2,38.0,484.0,105.88888888888891,95.19733726598145,144,2025-10-15 07:57:42
5,3,32.0,173.0,68.08955223880604,32.68358409755087,268,2025-10-15 07:57:42
5,4,33.0,190.0,67.74242424242425,33.23853670993676,264,2025-10-15 07:57:42
5,5,28.0,137.0,48.63076923076919,25.988752679096876,260,2025-10-15 07:57:42
5,6,29.0,136.0,48.584615384615375,25.841149613842905,260,2025-10-15 07:57:42
5,7,26.0,135.0,48.738461538461536,26.054458513559798,260,2025-10-15 07:57:42
6,1,215.0,1480.0,741.2,432.6006545484987,20,2025-10-15 07:57:47
6,2,216.0,1470.0,740.3999999999999,428.3611855235695,20,2025-10-15 07:57:47
6,3,31.0,575.0,125.54285714285716,111.42487842948772,280,2025-10-15 07:57:47
6,4,30.0,594.0,127.02857142857145,109.11307100061313,280,2025-10-15 07:57:47
6,5,25.0,199.0,49.90810810810807,29.139340281337866,740,2025-10-15 07:57:47
6,6,25.0,235.0,50.086486486486535,30.31674164391255,740,2025-10-15 07:57:47
7,1,34.0,1635.0,177.76000000000008,296.50009092679545,200,2025-10-15 07:57:53
7,2,37.0,1758.0,181.92,310.5703516380514,200,2025-10-15 07:57:53
7,3,46.0,527.0,98.46236559139783,54.83374708813744,372,2025-10-15 07:57:53
7,4,50.0,528.0,98.52688172043004,54.60736429268546,372,2025-10-15 07:57:53
7,5,30.0,350.0,46.497487437185875,29.655103286142708,796,2025-10-15 07:57:53
7,6,27.0,332.0,46.56281407035175,29.952496127573486,796,2025-10-15 07:57:53
7,7,31.0,339.0,46.75252525252525,28.811508598979085,792,2025-10-15 07:57:53
7,8,42.0,685.0,193.8510638297872,149.70130384600444,188,2025-10-15 07:57:53
8,4,21.0,70.0,39.36923076923077,11.737895900807784,260,2025-10-15 07:57:57
8,5,33.0,66.0,44.13793103448274,7.246908941565665,232,2025-10-15 07:57:57
8,6,32.0,60.0,44.103448275862064,6.615447369760794,232,2025-10-15 07:57:57
8,7,30.0,63.0,44.05172413793104,7.097154880942795,232,2025-10-15 07:57:57
8,8,249.0,436.0,347.83333333333314,70.37147808264531,24,2025-10-15 07:57:57
9,3,125.0,325.0,225.1578947368421,58.55710662970044,76,2025-10-15 07:58:02
9,4,116.0,332.0,220.5555555555556,54.75808227407985,72,2025-10-15 07:58:02
9,5,30.0,58.0,39.76666666666669,5.3919190030858735,480,2025-10-15 07:58:02
9,6,32.0,57.0,40.01680672268907,4.972316106777918,476,2025-10-15 07:58:02
9,7,31.0,54.0,40.00000000000002,4.91442559689008,476,2025-10-15 07:58:02
9,8,56.0,860.0,370.3636363636365,212.3959762800551,44,2025-10-15 07:58:02
10,1,43.0,563.0,70.15384615384619,54.92527571967481,416,2025-10-15 07:58:08
10,2,40.0,725.0,70.23809523809524,66.86923424124134,420,2025-10-15 07:58:08
10,3,30.0,417.0,91.7659574468086,77.98412495297265,376,2025-10-15 07:58:08
10,4,34.0,533.0,92.96808510638297,82.62654322546766,376,2025-10-15 07:58:08
10,5,30.0,3640.0,166.24074074074076,545.660289077974,216,2025-10-15 07:58:08
10,6,30.0,2638.0,167.4716981132076,486.5509370673164,212,2025-10-15 07:58:08
10,7,30.0,2847.0,166.96296296296285,494.05435961013916,216,2025-10-15 07:58:08
10,8,18.0,373.0,90.18181818181823,66.5436548267264,396,2025-10-15 07:58:08
11,1,74.0,108.0,94.00000000000001,14.385177556545258,16,2025-10-15 07:58:12
11,2,76.0,1360.0,409.4999999999999,566.8836447337907,16,2025-10-15 07:58:12
11,3,507.0,701.0,604.0,103.69736186202066,8,2025-10-15 07:58:12
11,4,624.0,891.0,757.5,142.71750318123463,8,2025-10-15 07:58:12
11,5,23.0,181.0,32.25000000000002,15.918198200253654,384,2025-10-15 07:58:12
11,6,23.0,235.0,32.97938144329896,21.275104341287676,388,2025-10-15 07:58:12
11,7,23.0,158.0,31.90625,13.653739720497516,384,2025-10-15 07:58:12
11,8,23.0,256.0,109.37931034482757,74.20508070879313,116,2025-10-15 07:58:12
12,1,31.0,62.0,44.537037037037,7.467667891527896,216,2025-10-15 07:58:17
12,2,31.0,67.0,44.759259259259274,7.505496119970391,216,2025-10-15 07:58:17
12,3,71.0,238.0,120.83333333333334,58.05669393054455,24,2025-10-15 07:58:17
12,4,68.0,238.0,131.39999999999998,60.36241423793103,20,2025-10-15 07:58:17
12,8,40.0,146.0,65.3448275862069,26.015748891869276,116,2025-10-15 07:58:17
13,1,34.0,242.0,72.41463414634146,44.79974562250092,164,2025-10-15 07:58:22
13,2,37.0,211.0,73.02499999999996,44.39700114525556,160,2025-10-15 07:58:22
13,3,21.0,87.0,41.52054794520548,15.468944247260088,292,2025-10-15 07:58:22
13,4,23.0,86.0,42.01388888888889,15.392195004410947,288,2025-10-15 07:58:22
13,5,405.0,405.0,405.0,0.0,4,2025-10-15 07:58:22
13,6,404.0,404.0,404.0,0.0,4,2025-10-15 07:58:22
13,7,405.0,405.0,405.0,0.0,4,2025-10-15 07:58:22
13,8,285.0,390.0,351.5,41.8282201390401,16,2025-10-15 07:58:22
14,1,37.0,183.0,83.77777777777776,46.810281906989594,108,2025-10-15 07:58:27
14,2,36.0,171.0,84.69230769230766,47.11627363475166,104,2025-10-15 07:58:27
14,3,30.0,83.0,46.428571428571445,13.62350909274112,196,2025-10-15 07:58:27
14,4,31.0,85.0,46.38775510204081,13.929958604728906,196,2025-10-15 07:58:27
14,5,96.0,224.0,138.1,40.642153183420476,40,2025-10-15 07:58:27
14,6,80.0,218.0,134.99999999999997,41.3459274207958,36,2025-10-15 07:58:27
14,7,92.0,206.0,134.8888888888889,39.47786199000127,36,2025-10-15 07:58:27
15,1,60.0,1211.0,316.04166666666663,302.5976629355142,96,2025-10-15 07:58:33
15,2,57.0,1162.0,309.83999999999975,296.4001772106505,100,2025-10-15 07:58:33
15,3,25.0,312.0,67.73437499999999,57.5079995286285,512,2025-10-15 07:58:33
15,4,26.0,303.0,68.108527131783,57.86509121668922,516,2025-10-15 07:58:33
15,5,34.0,205.0,57.49350649350649,30.230388362209958,616,2025-10-15 07:58:33
15,6,33.0,183.0,57.61935483870968,29.24781774558116,620,2025-10-15 07:58:33
15,7,32.0,186.0,57.64935064935062,30.056755520567858,616,2025-10-15 07:58:33
15,8,23.0,1195.0,128.4418604651163,200.7168792251293,172,2025-10-15 07:58:33
16,1,21.0,371.0,49.76124567474051,23.7958507752496,1156,2025-10-15 07:58:38
16,2,25.0,377.0,49.923875432525996,24.083284444679553,1156,2025-10-15 07:58:38
16,3,26.0,371.0,50.68055555555551,25.63789896060516,1152,2025-10-15 07:58:38
16,4,70.0,851.0,149.72631578947363,114.00462353307643,380,2025-10-15 07:58:38
16,5,68.0,827.0,149.70526315789482,111.52792271348663,380,2025-10-15 07:58:38
16,6,79.0,797.0,149.88421052631577,109.32538281602825,380,2025-10-15 07:58:38
16,7,25.0,699.0,107.22556390977441,88.86186546732519,532,2025-10-15 07:58:38
16,8,25.0,587.0,109.05343511450388,83.74323983237652,524,2025-10-15 07:58:38
17,1,29.0,51.0,36.459770114942536,4.031016913055641,348,2025-10-15 07:58:42
17,2,28.0,53.0,36.64772727272722,4.248786715309273,352,2025-10-15 07:58:42
17,3,92.0,403.0,163.00000000000003,79.44659334439616,68,2025-10-15 07:58:42
17,4,93.0,489.0,168.70588235294113,96.19306749209213,68,2025-10-15 07:58:42
17,8,185.0,535.0,325.2222222222221,116.02342401702737,36,2025-10-15 07:58:42
18,1,51.0,522.0,120.0,88.29547895024655,132,2025-10-15 07:58:47
18,2,46.0,452.0,118.78125000000001,80.37813561559743,128,2025-10-15 07:58:47
18,3,25.0,123.0,40.06140350877194,11.650805820525553,456,2025-10-15 07:58:47
18,4,25.0,155.0,40.561403508771924,13.906459934718962,456,2025-10-15 07:58:47
18,5,32.0,749.0,105.51282051282053,131.1703884354848,156,2025-10-15 07:58:47
18,6,36.0,724.0,117.64102564102562,144.30102714489007,156,2025-10-15 07:58:47
18,7,36.0,743.0,110.51282051282055,144.25709518770086,156,2025-10-15 07:58:47
18,8,82.0,1488.0,661.4999999999999,579.2363038106071,24,2025-10-15 07:58:47
19,2,820.0,820.0,820.0,0.0,4,2025-10-15 07:58:52
19,3,64.0,375.0,144.8620689655173,87.91289132868465,116,2025-10-15 07:58:52
19,4,63.0,429.0,144.75862068965517,90.75361970882966,116,2025-10-15 07:58:52
19,5,29.0,56.0,40.39655172413793,6.007740594183048,464,2025-10-15 07:58:52
19,6,28.0,55.0,40.40517241379308,6.19200131748869,464,2025-10-15 07:58:52
19,7,27.0,56.0,40.410256410256444,6.433522812576118,468,2025-10-15 07:58:52
19,8,27.0,276.0,112.29268292682929,48.71917469479336,164,2025-10-15 07:58:52
20,1,37.0,2680.0,176.33720930232568,294.7214373073594,344,2025-10-15 07:58:58
20,2,33.0,2669.0,176.68235294117656,294.2048014128735,340,2025-10-15 07:58:58
20,3,34.0,2667.0,176.95294117647066,293.6792103722925,340,2025-10-15 07:58:58
20,4,30.0,2539.0,77.90776699029131,176.92517859744845,824,2025-10-15 07:58:58
20,5,32.0,2544.0,77.97572815533981,177.24264287323481,824,2025-10-15 07:58:58
20,6,35.0,2545.0,77.94660194174755,177.2970324862062,824,2025-10-15 07:58:58
20,7,22.0,2583.0,63.2109375,162.4318202334142,1024,2025-10-15 07:58:58
20,8,24.0,2590.0,64.74000000000002,164.5671496585717,1000,2025-10-15 07:58:58
21,1,28.0,156.0,56.89230769230772,32.820618379198635,260,2025-10-15 07:59:02
21,2,30.0,166.0,56.030769230769224,31.981157208494135,260,2025-10-15 07:59:02
21,3,28.0,148.0,56.66666666666667,32.204353829516265,264,2025-10-15 07:59:02
21,4,67.0,836.0,190.57894736842107,184.37825346519907,76,2025-10-15 07:59:02
21,5,70.0,895.0,192.73684210526307,195.37883668545425,76,2025-10-15 07:59:02
21,6,74.0,878.0,187.29999999999998,184.55340553257446,80,2025-10-15 07:59:02
21,7,19.0,307.0,58.93749999999998,49.78223165181824,256,2025-10-15 07:59:02
21,8,17.0,287.0,58.99999999999998,48.35749227186549,256,2025-10-15 07:59:02
22,1,41.0,283.0,98.7941176470588,70.19666739446937,136,2025-10-15 07:59:07
22,2,40.0,304.0,98.52941176470587,70.97385446366283,136,2025-10-15 07:59:07
22,3,28.0,71.0,45.72972972972973,9.446078619333981,296,2025-10-15 07:59:07
22,4,28.0,72.0,45.72972972972972,9.42596097306208,296,2025-10-15 07:59:07
22,5,42.0,247.0,88.75862068965523,54.67669731599842,116,2025-10-15 07:59:07
22,6,43.0,247.0,88.89655172413799,54.48340462297071,116,2025-10-15 07:59:07
22,7,48.0,247.0,89.48275862068964,54.41267159940511,116,2025-10-15 07:59:07
23,1,130.0,415.0,250.5,100.32425689602258,24,2025-10-15 07:59:12
23,2,135.0,404.0,250.16666666666663,97.10132165252266,24,2025-10-15 07:59:12
23,3,50.0,96.0,70.55555555555554,10.675619295948358,108,2025-10-15 07:59:12
23,4,53.0,100.0,70.0740740740741,11.126883924244945,108,2025-10-15 07:59:12
23,5,37.0,66.0,51.57500000000001,6.747512935712689,160,2025-10-15 07:59:12
23,6,37.0,66.0,51.37499999999999,6.235171087513642,160,2025-10-15 07:59:12
23,7,39.0,66.0,51.53846153846151,6.307583367696906,156,2025-10-15 07:59:12
23,8,381.0,386.0,383.5,2.6726124191242437,8,2025-10-15 07:59:12
24,1,108.0,1120.0,357.42857142857133,280.855760919299,56,2025-10-15 07:59:18
24,2,111.0,1144.0,351.5714285714286,267.81994339093217,56,2025-10-15 07:59:18
24,3,20.0,260.0,83.9651162790698,47.62302103340313,344,2025-10-15 07:59:18
24,4,33.0,276.0,84.96470588235289,47.166671663818306,340,2025-10-15 07:59:18
24,5,30.0,150.0,52.021428571428594,16.07917256708553,560,2025-10-15 07:59:18
24,6,34.0,141.0,52.27338129496406,15.99315428117791,556,2025-10-15 07:59:18
24,7,35.0,145.0,52.60431654676257,15.552118110734881,556,2025-10-15 07:59:18
24,8,27.0,600.0,156.5681818181819,117.4460406634999,176,2025-10-15 07:59:18
25,1,74.0,837.0,269.92000000000013,174.29637362431222,100,2025-10-15 07:59:23
25,2,54.0,890.0,279.19230769230774,194.7505288412415,104,2025-10-15 07:59:23
25,3,43.0,751.0,89.68750000000003,84.6226225701658,384,2025-10-15 07:59:23
25,4,42.0,560.0,90.35051546391747,78.86128091554556,388,2025-10-15 07:59:23
25,5,22.0,135.0,53.637426900584806,18.46678320127378,684,2025-10-15 07:59:23
25,6,23.0,136.0,54.260355029585796,18.633072052025916,676,2025-10-15 07:59:23
25,7,30.0,137.0,54.47023809523811,18.452799769067422,672,2025-10-15 07:59:23
25,8,20.0,752.0,177.2745098039216,172.73392260062846,204,2025-10-15 07:59:23
26,1,67.0,181.0,116.15625000000003,21.40274400586037,256,2025-10-15 07:59:28
26,2,74.0,175.0,115.33846153846157,23.712093536071006,260,2025-10-15 07:59:28
26,3,54.0,114.0,75.51515151515142,11.963119390301404,396,2025-10-15 07:59:28
26,4,52.0,115.0,75.11000000000003,12.940500042632948,400,2025-10-15 07:59:28
26,5,65.0,154.0,97.80519480519483,20.369894731259137,308,2025-10-15 07:59:28
26,6,63.0,155.0,97.57142857142861,20.17734309813279,308,2025-10-15 07:59:28
26,7,63.0,156.0,97.68831168831163,20.180462535583548,308,2025-10-15 07:59:28
26,8,84.0,797.0,324.4545454545453,189.13517085054428,88,2025-10-15 07:59:28
